(he1 -0.084)(he2 0)(lae1 0.0516)(lae2 0.1958)(lae3 0.1738)(lae4 0.0221)(rae1 0.0516)(rae2 -0.2267)(rae3 -0.1737)(rae4 -0.0221)(lle1 0.0177)(lle2 0.0029)(lle3 -0.0103)(lle4 0.0736)(lle5 -0.0338)(lle6 -0.0074)(rle1 0.0177)(rle2 -0.0029)(rle3 -0.0323)(rle4 0.106)(rle5 -0.0309)(rle6 0.0074)
(he1 0)(he2 0)(lae1 -2.5435)(lae2 -1.27447)(lae3 0)(lae4 0.0221)(rae1 -2.5451)(rae2 1.27447)(rae3 0)(rae4 -0.022)(lle1 0)(lle2 0)(lle3 8.9297)(lle4 0)(lle5 0)(lle6 0)(rle1 0)(rle2 0)(rle3 8.9296)(rle4 0)(rle5 0)(rle6 0)
(he1 0)(he2 0)(lae1 -2.0001)(lae2 -0.999067)(lae3 0)(lae4 0.0177)(rae1 -2)(rae2 0.999067)(rae3 0)(rae4 -0.0177)(lle1 0)(lle2 0)(lle3 7.8752)(lle4 0)(lle5 0)(lle6 0)(rle1 0)(rle2 0)(rle3 7.8752)(rle4 0)(rle5 0)(rle6 0)
(he1 0)(he2 0)(lae1 -1.8722)(lae2 -0.854567)(lae3 0)(lae4 0.0132)(rae1 -1.8722)(rae2 0.854567)(rae3 0)(rae4 -0.0132)(lle1 0)(lle2 0)(lle3 6.8207)(lle4 0)(lle5 0)(lle6 0)(rle1 0)(rle2 0)(rle3 6.8207)(rle4 0)(rle5 0)(rle6 0)
(he1 0)(he2 0)(lae1 -1.5161)(lae2 -0.680767)(lae3 0)(lae4 0.0103)(rae1 -1.5161)(rae2 0.680767)(rae3 0)(rae4 -0.0103)(lle1 0)(lle2 0)(lle3 5.7646)(lle4 0)(lle5 0)(lle6 0)(rle1 0)(rle2 0)(rle3 5.7646)(rle4 0)(rle5 0)(rle6 0)
(he1 0)(he2 0)(lae1 -1.1966)(lae2 -0.533867)(lae3 0)(lae4 0.0089)(rae1 -1.1966)(rae2 0.533867)(rae3 0)(rae4 -0.0089)(lle1 0)(lle2 0)(lle3 4.7102)(lle4 0)(lle5 0)(lle6 0)(rle1 0)(rle2 0)(rle3 4.7102)(rle4 0)(rle5 0)(rle6 0)
(he1 0)(he2 0)(lae1 18.2588)(lae2 -6.84855)(lae3 0)(lae4 0.0074)(rae1 18.2588)(rae2 6.84855)(rae3 0)(rae4 -0.0074)(lle1 -14.4)(lle2 0)(lle3 3.7245)(lle4 0)(lle5 0)(lle6 0)(rle1 -14.4)(rle2 0)(rle3 3.7245)(rle4 0)(rle5 0)(rle6 0)
(he1 0)(he2 0)(lae1 17.2607)(lae2 -6.3553)(lae3 0)(lae4 0.0059)(rae1 17.2607)(rae2 6.3553)(rae3 0)(rae4 -0.0059)(lle1 -13.5)(lle2 0)(lle3 2.9265)(lle4 0)(lle5 0)(lle6 0)(rle1 -13.5)(rle2 0)(rle3 2.9265)(rle4 0)(rle5 0)(rle6 0)
(he1 0)(he2 0)(lae1 15.5674)(lae2 -6.1775)(lae3 0)(lae4 0.0044)(rae1 15.5674)(rae2 6.1775)(rae3 0)(rae4 -0.0044)(lle1 -9.75774)(lle2 0)(lle3 2.2989)(lle4 -12.9755)(lle5 -10.08)(lle6 -1.14842)(rle1 -9.75774)(rle2 0)(rle3 2.2989)(rle4 -12.9755)(rle5 -10.08)(rle6 1.14842)
(he1 0)(he2 0)(lae1 14.5492)(lae2 -5.0642)(lae3 0)(lae4 0.0029)(rae1 14.5492)(rae2 5.0642)(rae3 0)(rae4 -0.0029)(lle1 -8.86683)(lle2 0)(lle3 1.8055)(lle4 -12.1646)(lle5 -9.45)(lle6 -1.07665)(rle1 -8.86683)(rle2 0)(rle3 1.8055)(rle4 -12.1646)(rle5 -9.45)(rle6 1.07665)
(he1 0)(he2 0)(lae1 19.2361)(lae2 -4.0113)(lae3 0)(lae4 0.003)(rae1 19.2361)(rae2 4.0097)(rae3 0)(rae4 -0.003)(lle1 -10.433)(lle2 0)(lle3 1.4182)(lle4 -11.0414)(lle5 -8.3348)(lle6 -0.868647)(rle1 -10.433)(rle2 0)(rle3 1.4182)(rle4 -11.0414)(rle5 -8.3348)(rle6 0.868647)
